Gene	a.0	a.2	a.8	a.16	b.0	b.2	b.8	b.16
Gene13496	605990.6143	693916.8775	532162.8633	437005.8653	560841.8821	533535.6062	558862.7015	466035.7413
Gene7591	688347.6012	389580.4958	522965.0526	474205.5913	641133.6019	563367.6443	551391.6524	516048.058
Gene1495	510749.775	417528.1383	471266.6136	702858.1689	505422.1297	488248.103	457286.8688	749272.4855
Gene11508	620406.7007	460881.8064	527671.3164	514620.7824	513739.4294	484364.228	568407.1871	610307.6295
Gene1651	42549.82887	174017.4558	322341.0674	1645314.74	35171.15575	177405.6475	284069.6117	1565449.416
Gene6023	177777.4458	386185.0662	777975.2178	496959.453	117821.2691	910454.028	669711.9886	559298.4744
Gene11533	461003.5098	520122.2795	517299.9957	584910.2893	453006.223	468852.2404	503577.2599	568765.9079
Gene6839	450974.2849	498643.5828	495352.0325	591306.3612	472439.424	453361.3018	485856.4917	591042.5335
Gene12958	489576.5714	569283.6464	520776.8244	451190.6722	484769.2212	483331.9094	529786.0471	446103.5584
Gene4887	606385.9284	300889.938	565941.1779	395275.5585	548565.5265	531713.3918	561902.4739	396518.8327
Gene2956	555025.2527	598291.4347	398287.329	406494.2849	563707.6462	589562.5209	406740.8426	376862.8695
Gene4472	435674.3351	474852.7575	491468.0794	556129.1591	428956.8441	462234.1002	472822.3627	550112.1626
Gene12501	501099.2047	553178.9999	485560.2465	408788.9852	540882.5036	483071.2602	467764.5776	416057.9755
Gene2463	599453.288	392709.9698	476920.7516	438670.0547	596340.128	401037.4556	511008.9844	434678.926
Gene2824	566022.2648	564001.9833	456068.0288	316174.9723	589898.2367	564613.2483	472798.043	307569.7073
Gene4471	505860.1359	493085.7851	417420.9742	480903.8155	488551.0945	501172.1343	444527.1603	489469.4463
Gene11652	539902.5644	518716.9934	404869.3258	392138.4264	544375.7449	490859.7431	450871.5044	394193.1786
Gene3374	552569.2843	558495.8988	427951.421	346114.0047	508248.4121	500147.9494	462188.5506	367852.6968
Gene10845	527396.6039	372515.4016	436067.1817	423975.6631	550857.7951	496089.9921	471869.1388	427470.2878
Gene4747	429248.2178	483203.3448	480455.2908	495145.5746	411171.0943	397182.3611	478882.7859	495241.6148
Gene5906	406242.0189	526115.2147	499529.0208	497374.5982	337399.3506	413127.909	488464.8422	501526.7013
Gene11605	459894.0798	442328.1358	427371.301	436821.6188	485005.4967	448272.6872	424138.457	468515.4613
Gene9784	449212.8136	445101.4469	439882.2011	446688.5154	482389.8026	430854.2599	430495.823	463968.0033
Gene11932	460103.3605	624884.7259	442221.5102	380241.5153	465366.2179	373405.5003	448444.5726	384380.1879
