Gene	a.0	a.2	a.8	a.16	b.0	b.2	b.8	b.16
Gene7126	157251.6395	117776.4196	129668.608	133535.3341	158647.0195	131842.451	134005.328	137216.8679
Gene8519	129876.3536	136285.8599	123339.1917	182653.5202	116189.1149	123546.1421	115048.699	172598.0262
Gene11162	156145.4652	146048.3238	136493.6811	113036.9813	144972.99	146051.5178	141830.7151	114539.436
Gene13328	128698.078	137979.6811	132572.8897	153071.1905	123032.4629	136626.5201	128635.9813	158305.2546
Gene7357	148502.0518	73464.14015	120341.6095	175993.8058	133310.5416	130331.8989	123590.8048	185301.4718
Gene567	139000.7532	254067.9048	137266.6353	47310.79387	120680.0581	183692.2367	139474.0911	67525.4015
Gene7438	137611.5186	206396.8507	125173.8156	112169.4715	128799.0666	122214.1888	136482.9023	118726.3325
Gene5702	139809.7813	99408.91606	118736.1823	139042.84	151278.3876	154899.068	126032.3993	158184.2292
Gene11184	148269.1918	164526.744	134694.2097	107030.5987	144445.0646	138554.3381	140689.3989	108526.9832
Gene8207	136249.6395	148367.1577	135139.3097	113879.8706	115171.4844	180401.3943	120144.3087	136168.3551
Gene5899	161122.1428	103722.6172	109524.5335	114746.4158	179758.0443	166818.4463	119886.6397	129544.3896
Gene1229	85769.95866	78518.24448	121482.8876	258050.2178	82330.48786	75404.42372	111263.2829	269329.4164
Gene2421	221660.2983	103355.4678	104370.8382	94541.85221	227190.757	98216.35547	141885.5942	89501.89876
Gene3132	159113.1794	173884.7416	127856.0596	82661.89436	151016.4919	158299.8291	134615.175	92993.70248
Gene10092	191836.6777	50510.97721	142682.9685	103279.4539	158045.9146	195737.5907	131671.3396	105761.0149
Gene3239	127315.5912	165691.0361	122831.9823	107259.1821	143487.3866	168138.0613	118596.2006	115944.7121
Gene9687	146327.1626	157037.0534	143065.3961	98304.22633	138941.5962	140494.6657	140483.4739	102436.7039
Gene2472	211751.2968	105306.7459	105539.9357	103032.8388	209614.8104	113519.6024	123190.8344	94486.70252
Gene11640	135272.0596	189827.9985	145717.8189	109661.5307	78887.58207	138941.5864	147202.4676	117320.2529
Gene10270	120598.1756	116403.5044	156592.993	133905.5453	117913.6994	133343.8049	146536.5154	136052.8844
Gene3880	119941.3314	140851.0576	130740.3145	141978.018	108444.7363	135093.7934	137803.3475	146129.5751
Gene2958	155435.968	164578.879	108517.5054	101949.2267	159991.9034	158848.8069	115006.3375	96125.53942
Gene12493	148725.896	151268.01	116408.8728	121158.1714	151593.7028	128130.7172	123522.6625	116374.047
Gene12288	145276.0043	149414.3619	132057.6119	105054.5957	138170.1867	144048.302	138015.6325	103388.9049
Gene1252	121429.9809	101629.3232	131586.4597	158924.65	125986.5103	112145.0508	129318.3673	172265.8801
Gene6793	147110.5826	121163.6081	121092.8787	135868.7891	147119.9813	114035.2932	120146.1449	145014.5411
Gene478	107432.177	182832.3737	148343.2571	104792.8005	111681.7928	147573.8535	144734.1997	103809.4703
Gene7471	151882.1304	158629.6364	110941.5818	106103.8624	146268.5105	149026.2398	116194.8568	108552.8501
Gene4526	144939.5292	134075.2886	145962.4788	99438.98734	151909.3035	117099.5635	150993.5916	102336.6492
Gene8316	120476.7703	123935.4419	121801.3435	138689.5412	120993.1203	153084.5001	113219.9822	149902.0441
Gene7303	169263.1393	63582.92942	132909.0644	123418.3538	166720.1863	128911.4522	133233.7405	123845.7916
Gene623	94698.16017	181639.0703	147439.3351	98523.44311	101633.2653	174971.4535	138824.7381	104126.5344
Gene9782	166816.9228	96501.59554	119984.8876	99338.12787	163775.49	153658.1719	138215.4414	102904.7523
Gene11526	141077.9655	160760.4824	122211.9349	110277.9221	130490.3404	122227.3791	131118.6479	122461.6461
Gene477	108371.6619	147091.7915	141275.6211	99090.74252	114335.9747	169399.5505	149290.4085	104204.8626
Gene8056	145686.1332	142526.4922	129167.872	127033.0724	129267.3286	124183.6171	116959.858	117113.4865
Gene7381	145763.3157	79712.81283	130795.9141	101296.2154	159733.7623	168276.0446	140835.7903	105259.8552
Gene11758	177564.2297	150200.9033	113298.7604	88602.01598	145068.5059	129292.7832	125883.2396	99277.11304
Gene44	90125.35334	151498.331	151972.0218	123423.4961	93923.94328	142177.0467	148229.4487	125143.6706
Gene2206	73476.33387	118119.5625	167566.5866	163513.9424	62885.98759	102479.3507	167831.6638	169324.2004
Gene2751	165168.3715	168990.7018	79978.57896	64363.77387	199573.4178	192591.6664	86844.44668	64673.69833
Gene273	24855.41142	199836.7869	210888.3301	83108.69175	26705.34054	189767.7817	190645.0502	90105.06093
Gene6837	108692.289	126123.9805	127897.6834	144858.8551	119248.1387	109452.93	124121.4872	152672.9261
Gene303	85638.76839	223187.363	140616.8591	60506.86712	109327.0874	186371.1077	135969.8959	70051.40377
Gene7488	125675.3463	215627.704	119914.0145	90367.02812	133081.4344	113800.2573	122731.3971	87746.61912
Gene7108	136712.014	123859.7839	123828.8196	115918.9087	131411.9652	127195.0118	121941.5877	127687.9987
Gene6903	132565.7855	112723.2908	129355.7167	129105.0965	132750.9647	132382.8934	117411.3962	122132.0609
Gene3710	131338.3844	107972.2766	123191.8035	125668.3665	135559.8834	136111.8926	122988.2949	124750.0501
Gene11857	140599.8562	146003.4055	119832.8687	103892.2944	116996.8323	130762.8134	123030.2963	124589.685
Gene2324	104113.3967	122012.5381	161585.6212	127927.918	99308.683	127214.3414	146055.3247	116816.7323
Gene10440	113125.0971	116295.6376	112803.0113	152041.683	115906.19	110391.7152	118013.2151	164366.7341
Gene3663	120282.9616	136610.2524	139001.3649	110918.0025	118236.1236	121118.3192	136017.4386	118466.4195
Gene10439	108523.7232	127700.689	117048.3933	161809.5164	112182.9936	101425.2867	114573.4253	157120.7202
Gene2611	151978.4625	77870.23496	111574.0184	143043.7222	155233.8539	103644.9334	122149.0899	134796.2883
Gene4469	151288.8921	128793.4762	99566.52936	116241.366	157925.6236	125774.3641	111206.7987	108652.8461
Gene413	79964.78629	188919.9467	158547.4736	90963.88632	71765.29496	165266.1418	143619.019	100168.2024
Gene4234	135978.433	114901.7362	121911.4129	116231.4491	137869.2165	126269.5428	126058.0575	118712.306
Gene11867	119083.4205	157321.4049	134525.494	112729.8031	96656.68674	111576.0917	138297.3958	126698.1961
Gene2062	61020.93071	81044.21755	189983.0085	160154.5856	68355.38828	102862.1114	169499.4204	163536.5143
Gene9119	135804.9952	130307.7572	129205.8114	109689.8654	132518.3337	130057.4266	117295.8487	110616.469
Gene690	68033.64176	241656.555	111138.1657	80090.98903	56725.83284	240860.721	115901.5019	80778.00683
Gene4824	142182.7714	116093.9275	124898.0597	111100.0736	141178.8435	121037.6318	132951.4617	104198.3731
Gene12120	111553.5651	146183.8406	138791.3127	101035.1506	115200.7482	141275.6544	138656.3882	97926.344
Gene11417	131702.997	154917.4801	113663.3386	104768.7322	142699.7223	128385.8088	122268.361	91787.0094
Gene7571	133126.4441	112000.6725	119718.482	130178.7153	125709.0042	114477.8444	116452.7878	134847.9787
Gene9621	111357.4295	150347.7571	120133.5163	109677.5162	106648.4109	147646.512	111053.7891	121723.4741
Gene2981	135139.1414	142263.4673	113814.0713	93498.14103	159006.5658	132459.2925	116554.2488	85745.19901
Gene11377	124834.6038	116456.119	111247.7816	124984.6254	133863.0073	129486.2041	117900.1183	119263.7237
Gene10438	106894.5975	122135.9572	114263.053	149427.9026	110741.4291	112472.496	103369.1914	154916.303
Gene5623	116109.6518	109003.6805	102972.4163	139559.0212	135857.0266	120713.5975	101778.6402	147169.7703
Gene10953	167404.4189	89401.27299	141918.9558	86408.44124	98099.88293	148934.3114	139258.1417	101451.4298
Gene13493	133444.2176	115068.9473	122625.5147	117645.5233	137087.7067	112426.0821	123947.6761	109981.2854
Gene11551	139955.4814	122878.388	113408.8215	101012.4144	155030.9097	123904.7016	115676.1591	97284.14788
Gene2334	97345.48686	144594.8293	148490.2745	110739.5375	91012.40429	119212.8203	146954.5694	106996.2767
Gene8397	102959.2484	122755.2993	136149.6078	119874.0656	97897.74137	118524.0603	141431.8916	122689.6341
Gene200	73972.50443	150431.6025	155832.4054	109332.4863	77097.46999	146357.3867	140396.4985	107908.9453
Gene13495	139858.2509	169564.7019	124630.9203	84841.84711	82761.46367	136487.2835	131064.7246	91973.12523
Gene13061	120685.6521	114791.7509	120962.6854	114762.0322	133831.2398	103518.3307	131377.9547	119238.9273
Gene10889	126496.1277	103625.8221	112416.3771	138941.6981	130500.4415	96638.77939	113378.5772	137021.9615
Gene1790	48742.82178	52804.92154	145179.7587	228307.545	55109.48239	49825.85883	137294.2443	240972.1462
Gene612	96079.74451	205046.1869	107187.4185	63067.11981	69940.80042	227850.9954	111906.0368	76932.92709
Gene11799	120854.3367	147008.9166	123157.3378	108087.9073	81242.40162	116406.0224	125034.3553	134592.6171
Gene892	94802.15308	87517.00645	146046.0186	147405.9832	92268.10042	84395.76733	147389.7459	155007.3543
Gene12957	123691.1205	126459.0376	114534.0754	110871.2972	121274.0088	133720.7794	118624.1895	105630.109
Gene12236	122987.4319	134427.2064	113692.1872	109714.3462	130677.1152	117831.7065	114016.7025	108459.2438
Gene469	127807.3281	208295.2448	97593.50348	60235.87765	88433.4835	200647.3765	106844.2834	60851.24731
Gene11928	119118.0657	166553.0518	122327.3837	96957.98118	118268.1184	102625.4313	125267.9683	99157.77536
Gene13481	136048.8065	145923.6635	112075.9011	90185.45744	110911.1605	123177.708	125413.5962	106150.627
Gene12017	98644.93642	143432.6735	133807.2076	94499.06288	99830.13849	148045.957	116708.5957	113207.0102
Gene3127	136104.9621	147067.1091	97286.88777	91443.67454	134485.6983	143265.3378	96415.06512	101554.8793
Gene11488	113480.2501	107566.3582	118662.4501	129227.4535	116267.7565	111425.9989	120668.6448	127813.1045
Gene3105	134309.1817	136385.7452	116663.9689	84054.37888	141816.5186	128462.6463	121140.9141	81490.82529
Gene12529	101060.1454	179409.6816	111426.6955	86805.35134	120552.8975	142819.4597	108933.7417	93060.34884
Gene899	89968.67724	88557.03654	131432.3499	156140.7679	94240.74462	90204.12707	131714.0832	161209.2418
Gene12506	109686.063	162344.023	122754.0846	94199.59727	111740.3095	131647.5338	121084.8088	89435.06518
Gene11148	102425.349	84275.19302	120962.4293	119538.6509	96379.14907	176400.083	109321.3432	131719.8325
Gene9908	137901.3743	123218.9596	99361.21319	80515.37775	130420.7676	188749.8067	99168.62372	79273.67484
Gene8590	101790.0959	94347.73606	130036.8581	144568.9338	103910.8491	98329.99302	122039.855	142937.9265
Gene12410	120566.5872	137562.2472	117716.3989	94157.30439	130766.4771	124903.3511	121457.028	90073.88259
Gene2621	136999.0409	79773.51767	115695.7384	128097.8176	140123.5346	85588.42156	125310.0278	123679.0301
Gene2261	101094.5159	89848.58205	154099.4804	140478.3945	85059.86989	77837.66409	144772.029	142036.9963
Gene7020	129837.396	111438.6001	106547.6963	109838.3964	143798.7636	122278.8194	110638.0474	100721.5359
Gene4970	127488.2682	106846.6035	144632.4113	116993.9275	94765.33429	104620.7488	133353.7896	104807.8836
Gene3386	107383.5719	156172.451	133606.0779	83353.84882	84153.18439	150494.1832	110124.9847	107418.5074
Gene2409	29184.63631	102995.5405	255822.6183	103343.4657	27426.51848	77932.45816	224001.0532	110576.4312
Gene5190	127708.1452	96940.28325	106508.046	121815.8241	123956.0256	110106.5618	119074.984	122751.0225
Gene5101	125077.7986	54333.92421	125046.964	123506.6097	131674.1463	127832.515	127362.3413	112642.6461
Gene13600	168300.1684	33223.48377	91982.24354	83217.50786	186525.5568	176647.0384	91385.9822	93738.04481
Gene525	117108.1985	164579.8361	119224.8524	68046.99262	114501.0945	160132.6154	109233.3125	69666.25589
Gene2297	34463.85162	150144.4433	207120.4538	83283.89053	32514.38413	142994.2112	174346.2613	96575.8954
Gene4021	125909.9958	123097.1616	107551.6591	103328.2122	126687.3457	116864.3677	110383.1495	105170.0226
Gene1054	101061.7397	96888.38451	115785.2334	159808.6387	94852.3658	94399.0774	112668.3506	142886.139
Gene11336	131709.0064	111767.1173	107818.3164	94499.2581	140446.9141	135831.7229	105561.9466	90664.28663
Gene11105	123623.9076	119199.0752	103428.2921	106372.6417	128012.3841	128473.0204	103632.0847	105330.1449
Gene12503	144714.441	139495.9749	119326.8916	80814.83298	94134.6219	118810.1786	119898.6003	100527.7618
Gene11728	90242.86335	97586.61501	109168.6106	126490.1796	109163.8742	93249.95404	131806.0196	159347.3688
Gene377	122047.8597	202983.0897	94886.34525	47638.3284	125269.832	187597.4838	85933.28298	49176.55834
Gene2184	79408.89602	120929.0697	138660.0825	123884.415	80091.26466	105465.8763	140375.5566	126678.3639
Gene6817	140187.7738	116759.225	110907.7085	95314.00004	125593.5121	114640.3935	120179.7284	91005.08458
Gene3027	139647.895	155988.0863	88905.65649	78414.11913	148361.7549	133840.8528	90688.27638	78719.22986
Gene8611	148512.3227	90134.49714	101002.2684	101931.6838	152921.8884	127692.2287	99763.99909	90545.21694
Gene1268	82059.21686	102455.7619	125350.0347	161128.3155	82220.37939	92215.15636	107333.2597	159038.7246
Gene2010	61706.82837	117539.1071	175705.2478	115980.8355	62371.917	103737.8816	155871.2547	117721.9128
Gene10715	112849.6759	117182.1884	119271.9779	94036.78343	117761.8617	129269.2904	122525.5326	96896.44413
Gene2566	147927.3453	87744.61107	101826.1215	104063.2915	152698.0282	107688.2058	103970.5339	102896.51
Gene11693	98959.81637	116391.2761	138539.5545	118359.7306	53645.33627	104917.9492	149201.8406	127591.9287
Gene11903	116795.2609	120814.1979	119129.6355	108013.3012	103263.1412	106463.8492	116893.4572	115525.6122
Gene11735	70384.93288	112770.1932	112153.2906	138607.1349	92406.11144	96290.12817	120583.4083	160640.6474
Gene1301	92548.40645	95334.18543	117943.6078	147531.5201	97962.88225	86236.77113	114116.9802	150889.0803
Gene138	53589.26632	157644.665	155003.519	94817.74954	45922.81967	150319.9598	140579.6771	104667.3744
Gene2553	131592.5362	108975.7971	107478.1583	88133.32479	143984.4542	106909.6521	117441.7666	94335.19286
Gene10583	123387.3842	129346.5795	111590.5488	89803.1402	133088.8681	93704.79869	123409.2376	94489.21758
Gene5427	86231.53972	101105.4041	120235.268	126929.2612	99938.46648	101567.0053	119536.1149	142811.4756
Gene10334	93240.16205	122843.3333	131406.9302	104772.4126	98027.27708	118789.8477	120639.4058	105480.0283
Gene11869	114112.2894	125487.6614	112290.106	111834.8577	107799.7365	104466.6144	109819.1846	109316.0161
Gene2300	10692.16735	55682.36265	272517.1502	139765.6939	7402.33237	69529.87691	185366.7626	151477.8712
Gene8714	148279.7705	133106.0291	113504.5362	58995.37498	107760.1777	135828.296	129588.3479	64885.022
Gene10888	77683.88756	98389.04127	105572.3088	142465.6524	80946.92455	88953.96652	107459.6386	190395.0548
Gene11241	115564.5824	85215.04783	104193.2295	127244.7682	117104.9661	129094.5168	101839.5344	111117.8703
Gene2225	51054.96439	102466.6438	174425.0036	121654.4592	51148.54845	118749.2556	137244.1179	132889.3747
Gene5918	128161.6317	90264.15965	86612.60533	139594.0743	125506.8128	92843.54118	104189.2505	121968.8028
Gene8663	114509.4097	89367.59634	103755.6844	121512.2159	115756.3142	115522.1259	107808.3692	120289.8413
Gene2941	131022.7012	126309.4371	103850.3641	79664.6717	138384.2332	115397.79	114593.9565	79238.31488
Gene7504	115609.6536	118966.8474	110299.9341	106585.0087	102581.0397	107354.9722	107572.417	115733.6641
Gene5836	98988.26652	123094.1231	116469.8488	105674.827	98372.25796	119536.4761	116148.2543	106342.3772
Gene2820	111507.8336	147428.0294	94178.08397	83734.71865	121465.3528	136688.9579	106643.2653	82643.08293
Gene9685	128621.9355	92276.33694	103762.9181	108025.2968	121338.0977	115924.2597	110863.0259	103222.2719
Gene10890	96161.07787	109205.1551	104555.0198	133705.7911	95327.24252	102957.9424	101398.6886	138389.2274
Gene11977	117072.2479	154699.2215	105649.2692	75557.56519	139890.5996	76166.5753	123438.8882	87608.106
Gene2784	147636.509	139860.3484	78302.42262	76280.25922	139063.669	122324.9432	92106.94206	82660.06289
Gene11979	104600.8103	104376.5409	111192.9885	115252.9968	99116.66838	110959.2521	108988.8429	123573.751
Gene1703	73203.38808	84933.12335	130102.8948	146746.7149	66240.0004	89221.25845	108727.3175	178346.0164
Gene11927	116140.1884	149488.0535	110959.4861	83562.33872	110485.949	104900.5919	110866.4765	88765.89005
Gene12243	134919.4063	89418.64503	105547.45	99563.19361	134738.7854	104547.9738	108706.1356	96419.93361
Gene2486	148380.5081	94917.45864	92167.47591	88484.86601	154551.1485	106766.5912	103072.5457	85311.15925
Gene6843	101029.3033	146851.568	97077.52738	120205.2367	97285.40418	87891.10842	102191.0912	120045.104
Gene6948	82989.23731	106853.1869	113006.4113	146986.5047	87031.73688	117857.7005	101607.6345	115309.4305
Gene5653	92645.31034	105195.3328	106748.619	127585.9783	90542.12206	112675.8521	109158.1894	124368.6669
Gene6416	114211.567	109681.3272	98123.25677	102186.0463	126283.4775	113848.7761	106884.1597	96162.09297
Gene7487	105479.2368	162763.0379	107315.3595	90696.73121	111127.9017	93205.46663	106264.1579	90234.94396
Gene3062	130667.1927	132661.5425	81762.51428	87762.71115	129071.8495	122518.917	84935.03562	96978.99811
Gene12094	102679.4248	99145.54461	108634.2571	122453.2795	100597.2541	101241.8582	110649.7811	120681.3696
Gene10724	92797.14445	107700.0488	114943.1989	112043.8433	101432.1992	107256.5898	108375.7477	120621.108
Gene9569	129897.7466	128345.2622	108369.1791	78277.77231	105510.9594	112153.6501	111890.188	89638.60764
Gene12643	133394.9438	76856.23843	95540.66401	106376.3946	112781.6729	146745.2909	93539.06195	97824.09052
Gene5011	57737.83561	104517.3716	139238.3233	198696.4404	80783.26025	35469.11097	64836.51174	181771.5023
Gene10185	103921.1931	129122.829	91180.85458	83022.31301	108056.587	174352.764	84075.91728	87203.91973
Gene9527	116389.6526	107401.1751	118663.1881	89026.26836	115838.2828	106660.3453	116616.5283	88853.21813
Gene11909	111167.5916	121044.2744	109471.2581	97089.94996	104405.6032	103157.6727	106695.7975	105350.2666
Gene974	98915.05681	65195.66321	122147.3213	138269.3861	89568.77703	90661.63809	115194.0327	138393.2878
Gene13472	108357.6296	75718.69967	118932.2683	120506.7733	102330.602	97919.8265	116835.0409	116671.5747
Gene4223	121773.994	109802.4758	103655.6486	102589.5343	108499.5219	109971.2059	100011.032	100886.2173
Gene11907	107531.6535	104181.6143	105644.1547	107529.5259	112669.8782	100456.0982	106871.508	112025.9195
Gene7732	113845.948	102822.7414	108665.1949	94853.10715	116423.8772	109149.694	112946.7988	96218.79025
Gene7106	112204.315	87108.51458	105826.0382	107654.377	115511.3261	109665.2949	110234.3531	106541.5265
Gene9817	103724.6379	115509.9336	104824.9922	108390.9167	107820.0577	99872.03845	103904.985	109472.0457
Gene11425	103994.7266	107084.7208	114927.4406	107129.4781	99613.56451	104927.9484	109962.5459	105431.9117
Gene1209	41609.99961	41222.43071	88814.97268	252165.2621	47012.26287	41510.53214	75847.40992	261341.2753
Gene2702	144585.3692	64218.99721	87438.34202	120068.3054	132930.8471	81891.2082	98094.88088	118796.5127
Gene8707	115247.3783	198254.3672	103911.7552	59576.01372	71359.54393	128673.9981	108637.2914	61302.40746
Gene2740	114206.4968	140091.4019	94404.24294	67881.10625	120962.8396	151194.0835	90122.7113	67605.62163
Gene2746	125414.5052	115799.2036	98124.85953	75997.33825	135811.0945	123615.62	89185.35076	82460.72936
Gene10443	99951.76655	101531.9507	96748.58422	124044.5901	102398.0238	97971.79363	91114.44844	128505.3072
Gene9129	100091.7373	98588.93719	100039.0202	123719.6155	102050.8102	93932.11603	105379.951	118362.7383
Gene8443	102899.8083	78139.13218	108868.8126	110590.3622	109777.6765	96017.52028	121340.2508	114321.775
Gene635	62278.52541	153317.0576	120801.0469	82546.94001	70491.23742	145270.2787	114556.3698	92318.59582
Gene7111	119232.6611	118971.5443	103616.0183	92635.17829	108265.7266	104786.9495	98207.47912	94942.32597
Gene12729	110203.5907	98970.63975	107041.6305	101591.1422	106461.9184	111347.7317	106668.8559	95277.53442
Gene12514	143476.6456	66771.05769	56928.05104	71132.56571	175191.4555	187757.4016	64032.68504	71565.44069
Gene2160	49488.0062	108628.6392	154734.5206	107852.1211	50166.22118	104900.0189	133094.786	127166.9157
Gene11501	100936.0284	102119.9537	108458.3891	105712.5607	106612.4088	104300.7927	103402.5604	103694.2935
Gene7867	148142.7078	75178.08705	79436.24924	109771.9536	104522.5306	95666.22911	91964.32043	129300.9339
Gene7628	108267.6359	77299.38179	106497.9866	105691.7609	111371.1905	105463.5622	108435.028	108221.1004
Gene9539	114051.1881	97051.15287	98388.52718	109143.5566	109022.1049	102177.3316	102738.6436	96944.3615
Gene2836	131277.3686	98604.79739	99837.75418	66482.78636	124498.1414	107366.2929	124927.6512	73974.40551
Gene11590	118168.259	107517.3099	96748.40964	96557.23941	114997.9557	92152.73703	102258.1652	95207.12245
Gene4356	99349.76942	108022.0696	102124.8639	86236.76882	95408.69497	137833.1927	101594.1779	88972.5915
Gene9639	119114.6495	108222.6476	95371.03604	85051.86705	124852.678	98970.38117	101043.1424	85035.93353
Gene6754	86482.33467	106678.6939	117953.4354	104552.6858	83420.81411	96965.50999	115919.2198	105514.1677
Gene1150	78827.44172	81252.04048	112032.639	141823.6865	84748.91411	83958.59079	103854.5616	129907.3642
Gene2911	135315.6804	134458.4158	85991.734	57864.61866	128127.6252	125932.567	87176.12982	61114.35746
Gene13671	130157.5767	36727.61764	87685.43789	76593.66453	148387.8765	159102.1686	93051.53357	84269.69052
Gene9713	102043.0791	112170.7016	113202.772	87430.94344	98211.95533	105850.6486	107145.2066	89352.25024
Gene8220	105830.8812	97466.32089	96210.79841	106062.5528	115207.5395	104712.5699	94146.19626	95274.69692
Gene8815	84582.5639	92484.47745	118099.2927	113728.8779	82961.02768	96839.93495	111763.6798	113651.0667
Gene1317	54846.20245	43304.17214	103569.4873	210372.068	47887.79822	73159.28374	96972.12865	183649.0259
Gene2828	118193.7636	126120.7537	98144.77893	69939.52515	118606.1298	111438.6586	97721.60288	73369.28563
Gene402	55118.27705	113628.3889	150890.4572	65513.35466	66326.60255	142215.0241	141122.4512	77072.05094
Gene7580	111033.2297	103753.2724	96545.66736	87370.66323	118975.1417	114194.9318	96691.2484	81479.20924
Gene12540	98651.44669	102456.9564	104173.3689	97417.00925	99248.1981	100100.6628	101162.5609	104916.2369
Gene3851	107698.0002	112780.2601	105115.7987	81441.18001	107425.091	111539.2407	103944.0993	77904.12492
Gene934	69882.48309	37959.65162	126030.0254	162789.0265	80472.66834	35384.04419	126467.5849	168787.4256
Gene2405	73232.2322	85931.73443	134031.9431	127315.4945	66164.95282	70484.30405	115459.8089	133386.1651
Gene247	37749.88804	111189.6516	174559.3558	67218.81087	30720.16606	174161.4011	153190.7289	56647.69814
Gene5995	101472.0048	96153.1335	100152.9219	96885.5123	99547.27161	108809.2147	97489.30558	104634.1812
Gene694	103888.939	153006.3069	111807.7047	44840.44243	100749.9242	135829.404	108898.7191	42711.01718
Gene11347	108595.7028	99256.65001	97419.16491	96053.08525	102866.1281	107860.3456	97671.04243	91908.61168
Gene2413	65507.98075	96611.4034	141418.5715	111440.935	64023.0938	91113.75386	117956.5108	112973.7222
Gene12798	109993.0174	128137.9099	97921.52824	76676.24489	118269.507	86315.69692	101965.7086	80498.3065
Gene648	94953.68543	125861.2359	93357.37796	79959.81065	93446.34591	133723.9014	97233.7532	80989.41877
Gene6729	105528.1067	97414.55751	102185.5842	86398.29901	104147.4779	114020.1926	101113.4819	86806.70744
Gene11602	107000.1861	105411.3125	95637.45177	91775.59678	107062.4483	100120.7257	96555.63789	93310.57699
Gene11642	100237.403	128656.5824	97350.30889	95641.13582	100765.0093	82640.19015	97987.11972	93275.48065
Gene8029	90386.67677	96010.05111	106580.6799	106518.7618	93096.28969	88249.72101	108277.2726	106666.1652
Gene611	80563.96425	128042.3288	105734.0073	91363.65827	78963.43877	113570.3239	104194.6719	91126.95942
Gene3671	125734.6569	113303.4488	95022.98508	67028.34162	98934.03074	113596.337	103421.3652	75201.77828
Gene1367	66970.4531	40730.62634	96977.67519	194444.9666	64468.925	35254.78721	97552.27525	194502.459
Gene11528	82492.06766	84182.60616	115505.7493	113513.6054	75387.87864	85680.18019	113907.3478	119034.3648
Gene1907	75374.75242	68194.18406	111295.9477	146767.2778	43239.42908	78414.5516	105221.6975	161028.321
Gene9389	100400.4032	114353.9608	102952.143	79847.216	91248.33229	121600.8468	92872.26641	86203.80028
Gene8613	107956.6756	65749.97187	91796.70664	112199.9721	115976.7107	90282.72402	94181.21724	110727.2638
Gene12173	72887.52584	33853.63965	115418.9714	134081.4487	68521.40906	113820.7412	112507.716	137380.035
Gene7398	93920.46618	113625.5462	100909.1291	82549.13968	113569.658	102789.2406	102839.4758	77156.75621
Gene568	77897.5466	117906.2672	113465.5593	87554.61561	78235.84832	120833.623	106125.7123	83150.40335
Gene11230	97650.94534	89446.91757	86957.07171	108963.2652	107434.6472	90459.81809	93002.93721	111061.5283
Gene5421	98291.53403	76563.04998	103028.3198	112426.6798	94215.20107	92836.31069	93753.99699	111776.1225
Gene11138	134449.9094	68929.24083	56359.10315	57159.73753	165748.4696	175278.0331	58090.10741	66664.57481
Gene9484	100754.7689	131022.7187	107386.1039	72484.1984	69653.99741	106943.6358	110136.5422	83676.94553
Gene4078	96473.81881	77084.32423	103387.1356	107036.9474	91895.48234	94700.17962	103208.2468	107254.0559
Gene9156	102156.1017	103787.5755	95650.72848	92206.37716	99444.11373	92715.37068	102264.5097	91814.22896
Gene13471	96558.60209	69553.0385	106739.9307	103837.0734	96765.34167	87373.39749	106115.3664	111353.9211
Gene9479	85450.79597	89214.92448	106737.6286	111410.6996	83039.31217	85752.95829	99097.53721	117555.7582
Gene8556	89676.53667	136555.5159	106600.5549	69362.84718	89059.7824	108063.3631	104870.9063	73943.77637
Gene4338	116056.0286	67746.51482	93231.88807	84374.577	119431.4237	116954.4551	89769.60988	90177.70672
Gene11643	96999.28791	121670.2477	93680.66556	91026.81808	99194.81746	86504.55514	96804.79915	91728.06294
Gene8820	110680.5755	109189.1886	91890.25581	79338.04779	109820.0581	100943.2664	95822.80046	78018.03207
Gene1269	72893.5925	88307.48462	103292.2961	124404.1946	85834.0009	78085.88906	93097.79869	128587.818
Gene5560	104158.6776	102235.7739	91933.23853	83826.00443	108595.2996	103110.7322	92900.75513	86415.74611
Gene2596	149879.701	66659.96366	74086.82087	90616.33538	155560.8123	64605.61021	92399.35799	78706.6095
Gene1483	80045.07443	96580.49698	89071.02281	129096.134	81957.44358	77059.53361	97182.54214	121389.5942
Gene607	33391.61514	108459.9719	148890.3367	60945.40819	35532.80874	159444.7785	149123.3474	76033.69061
Gene6176	109411.1298	93953.98233	89186.40796	82499.42956	118359.28	101298.2846	89668.5656	86034.56915
Gene11183	108645.7034	105962.1892	93848.09416	70822.88842	108342.8265	105011.5758	99904.21429	77715.69977
Gene1575	93770.64957	74426.73754	86803.67601	122138.3462	97172.52873	83255.7803	87641.47249	122896.9995
Gene3426	137578.2077	118332.0277	92957.39642	55449.56376	109472.9677	93981.42677	102036.4805	58201.48886
Gene2382	79604.64024	100151.2609	131548.3778	71676.2394	76353.02733	99883.73901	122099.6047	86692.46742
Gene3036	108831.5798	115128.1215	89474.7862	72755.2906	113197.1745	105357.2441	91958.2001	71103.71609
Gene2372	68158.01414	102907.8759	117253.3084	108415.5046	62733.56613	96481.89215	118405.8181	92234.63405
Gene1364	54583.19493	57652.66371	124324.2449	133250.5487	49805.26833	77116.16338	124048.0962	145681.3096
Gene5741	79735.03635	114877.6755	106663.8252	86815.06998	75932.44307	111315.023	98847.32666	92005.45125
Gene9561	100990.66	112319.0537	96369.60558	86323.57447	89712.36303	90753.4487	95500.09655	93706.03764
