	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
8771	Gene8771	31161.57148	31788.23824	34374.4551	33519.90977	30585.75833	29321.36626	29556.75477	28278.49652
2040	Gene2040	16579.92097	17378.45209	25422.84557	26855.71891	47530.9385	43266.35155	35571.20874	35931.9771
1497	Gene1497	18995.28434	17901.68457	15798.24908	15376.23469	24270.08505	26607.6861	64819.69747	64760.20461
6802	Gene6802	31987.70505	32733.17643	30493.63207	27059.59206	32084.47154	31525.02965	32985.43942	29631.03276
12386	Gene12386	31341.70703	36670.83693	29850.54046	39066.10001	27843.75097	37089.49483	18764.35219	27822.68253
13704	Gene13704	30388.54378	28145.65206	21032.25876	37493.8737	40142.2143	37906.12292	25844.47824	27491.87795
7046	Gene7046	38202.63127	36290.14727	33717.58012	29708.85277	29506.17607	28879.33743	26613.78714	25505.34601
5505	Gene5505	27635.40694	28733.50977	32465.14936	40125.97513	30618.13608	32691.82594	29777.43196	26199.07341
9867	Gene9867	28528.62322	31693.31703	26084.27123	30632.04814	34291.02658	32337.19351	31331.23858	33327.2627
10867	Gene10867	36117.57051	35230.79783	31274.27889	30121.37919	27817.1641	28777.71698	28699.11864	30180.72017
292	Gene292	24705.21531	28740.16647	41059.34358	45605.40615	33175.92924	31374.17997	21710.494	21724.74838
3924	Gene3924	31134.90889	28526.15326	28222.4139	31744.93993	35694.32772	32067.8993	29277.23954	31340.6758
6449	Gene6449	32378.72523	32909.84667	29722.29455	32100.87173	31770.93894	30197.90396	29530.91394	29376.53835
5574	Gene5574	30009.97649	29759.81178	29697.54875	29337.26212	29708.74745	30834.31989	33464.34327	35166.05802
4858	Gene4858	41768.01575	31873.64391	26824.13937	37718.14079	28167.55575	31673.96534	23133.34797	26649.69741
12432	Gene12432	19130.29999	24383.73281	27792.28265	15066.44701	37089.57522	21695.63578	52374.01283	50188.52773
6301	Gene6301	21951.95151	23486.25606	29186.9036	29123.85343	41799.41294	31774.94036	35332.97001	34980.62866
8229	Gene8229	35242.0508	34742.58066	26304.11475	34385.64986	28593.81329	31071.70086	27512.75559	29778.19037
11664	Gene11664	30069.20538	29290.14727	28137.7951	28489.85137	27638.36704	30228.66021	38766.25485	34994.07883
846	Gene846	21879.72585	21775.19894	19230.73498	18987.36041	26182.51178	24585.98371	54532.77167	60394.83865
9664	Gene9664	31153.92577	29835.2896	31388.74847	34215.54201	29477.11999	28460.46021	32962.36374	29863.44307
1193	Gene1193	17614.94023	16087.29499	18641.97541	18312.44997	39504.5405	35161.57071	49763.51327	52217.32286
5738	Gene5738	32262.64838	33137.14063	27694.12046	26393.78489	32451.26859	33439.08875	30883.34211	30878.13884
1835	Gene1835	25690.5502	25868.88624	20955.08089	23590.72485	34090.98115	31144.48259	44560.2283	40899.14191
3255	Gene3255	27738.57162	31178.95311	33667.46738	33776.39082	28948.01709	32688.22078	30908.41221	27883.11525
6389	Gene6389	38387.64569	28187.83208	33077.99129	31056.03641	35014.40565	36573.5619	19167.82303	25292.65221
3898	Gene3898	25644.92807	26121.26507	33480.32528	32578.10495	35474.35374	31911.0047	30523.96415	30952.13023
10169	Gene10169	28487.89272	28043.7236	26382.75712	28582.00214	32797.22734	32412.22066	36723.4061	33249.49559
4635	Gene4635	30868.10941	28265.91845	31994.07975	28003.84494	30939.8983	28855.65154	33810.26502	33873.99555
13431	Gene13431	35541.59657	36710.5295	15937.03444	55151.28493	26773.58871	23026.07442	24819.12804	28652.05918
104	Gene104	5592.888234	7955.253877	28278.17727	20785.35538	44087.39633	40315.92201	47800.76211	51768.24326
7653	Gene7653	38362.62172	34409.72444	27127.52531	27375.44261	33461.25192	34987.97572	25873.28764	24943.05504
11049	Gene11049	28515.23581	32574.33483	28886.6327	34836.1648	32095.75259	28116.89644	29567.85903	31945.60151
11169	Gene11169	46096.50215	46281.66225	18618.18426	42622.68503	23409.95902	25515.45859	20390.17887	23590.51789
10833	Gene10833	27727.7326	30194.08878	30204.01477	31620.36636	31220.43941	32649.44088	32110.96604	30635.24575
11604	Gene11604	33618.1053	25809.36328	36695.72414	31149.88444	32037.33078	32318.67059	25375.05365	29356.10351
10578	Gene10578	24139.01911	25771.2075	36638.79513	47540.22285	31199.64863	31136.76592	26563.66495	23331.6942
7564	Gene7564	28842.61534	30944.15038	30906.8737	32252.78239	31868.29127	28812.94575	31549.96126	31026.72634
10788	Gene10788	33440.69584	32098.71916	29714.39733	30969.15034	28360.62086	30634.58517	29550.52417	31251.76462
2263	Gene2263	21712.66468	22710.85933	27939.09975	27202.7494	35558.34048	36928.91938	37983.35385	35916.26138
6001	Gene6001	30070.88053	28404.95904	31684.28992	29683.49042	29007.85087	27036.58842	35545.58894	34442.74575
3423	Gene3423	31451.15793	29690.64461	27518.20634	32860.68381	31529.20636	30766.58031	31521.45973	30348.70291
11293	Gene11293	28572.22908	30933.48815	34617.85166	30415.28456	29364.40706	30212.1486	29973.18393	31584.35046
5705	Gene5705	31960.57107	27384.43049	31182.46482	37212.89801	34833.69337	34200.75874	24924.97419	23878.09785
8829	Gene8829	32589.23508	29705.05465	32099.19933	34025.77519	29686.68231	32160.79377	28123.84922	27104.26289
3639	Gene3639	31654.81705	31833.71381	29885.70019	31289.17881	31119.71819	30771.88511	30646.44135	28255.63961
6503	Gene6503	28325.79892	31015.3734	34176.82453	30372.90656	32191.32746	30095.37283	29886.10861	29370.11289
10626	Gene10626	27594.50355	27698.96211	32587.76553	28375.19954	32373.75736	33613.77378	30819.4166	32325.6182
5677	Gene5677	28495.72206	29794.31708	26477.53869	25972.40914	30764.77438	33174.05287	36427.31774	34202.69808
4817	Gene4817	24749.15672	27962.23156	26552.64334	30479.23881	33020.38815	34241.02251	35583.98278	32603.36292
4579	Gene4579	33797.00696	30327.04701	32675.21583	34258.09707	28669.00436	30177.2664	27153.36862	28093.9478
3992	Gene3992	30806.28648	17286.68065	60963.81512	47579.63334	22208.66559	29238.39734	18416.09809	18350.40708
7511	Gene7511	41231.23689	31476.87832	22506.94979	30932.19285	30151.03602	33629.53246	28160.07356	26748.49894
5450	Gene5450	34446.73361	37689.12503	30652.34752	32206.24832	26521.81069	26391.16848	27677.71303	29218.8929
77	Gene77	21464.88229	22252.78784	36696.63943	36847.83765	34269.48722	32125.64969	30603.25192	30505.10751
3993	Gene3993	31004.72122	31376.16921	36601.22673	31604.71124	33175.5478	28448.59153	26864.50111	25660.5873
12117	Gene12117	39435.53768	44131.50352	22587.75084	38033.12174	24570.44778	25595.41124	24485.83294	25759.54647
3335	Gene3335	28809.95317	33831.67337	30186.29046	32109.15623	28912.57192	31042.26208	31639.64177	28027.64522
6983	Gene6983	34155.0499	33209.55941	27159.36841	31238.17218	27902.97787	29815.69392	30764.10969	30285.63574
13286	Gene13286	32893.36637	32683.18552	24802.97235	26752.87188	32421.25314	35214.8009	29128.45637	30311.74051
9718	Gene9718	30366.04658	31391.47902	32311.59302	32963.71811	29823.23368	30592.96346	30094.18691	26651.88541
12822	Gene12822	28863.55227	29848.83981	33194.66966	31631.67307	33327.0701	30724.94656	28359.80814	28228.56708
7690	Gene7690	31549.94141	31822.50045	28612.42286	30450.12868	34075.92832	33274.48217	27881.44672	26467.02093
2808	Gene2808	35258.66773	39150.93034	34669.84499	33261.69678	27419.20993	29378.11594	22563.04069	22399.9656
2390	Gene2390	16923.00011	18260.60122	15762.05981	21020.44841	45084.35375	42150.12878	42713.38668	42121.91229
7627	Gene7627	30078.35851	29978.50458	27829.12465	30699.44677	29661.61725	32749.02333	31619.52211	31382.61432
110	Gene110	20041.87766	18449.31485	38210.25038	31955.27027	39564.71122	32626.70338	31137.79369	31916.40535
11068	Gene11068	30950.71556	31454.75227	33250.53121	28661.67514	29660.23875	28607.59524	31616.47281	29666.70956
6109	Gene6109	30885.53012	31805.88656	33844.81613	32571.34573	30906.39465	30383.35506	27095.66103	26214.32506
5769	Gene5769	31078.10972	33270.9963	29088.38601	33428.83833	24678.56605	25659.15114	33512.86131	32959.80361
3683	Gene3683	28556.2724	31918.463	29434.73941	31919.0747	31952.1982	29418.11664	31185.32045	29287.70453
6474	Gene6474	30920.8313	32120.26505	32836.26787	33072.37764	35669.11624	27369.16977	23685.39445	27984.81815
2959	Gene2959	34723.14919	34935.48356	37410.61485	35592.00854	26089.43063	27681.49041	23267.15089	23835.2718
9678	Gene9678	30560.74101	27998.74745	34621.15991	32057.5304	28894.57756	31339.35371	31273.59619	26680.97377
3125	Gene3125	41496.67975	55646.56248	40868.31785	36922.70187	14703.63528	16831.20578	18729.0499	18182.62223
1078	Gene1078	24678.30448	23672.73076	25852.17411	26470.7001	32446.95256	31887.79394	37951.77863	40271.69885
11165	Gene11165	31814.61943	29828.13626	30454.41325	31021.2505	30716.33912	29368.04598	30718.06067	29290.94537
12146	Gene12146	31954.73199	32327.7844	28786.13804	34228.9065	28848.02299	30541.99531	28491.54306	28032.3166
7582	Gene7582	42561.6331	32287.52228	23879.72345	40919.02605	29044.68901	31027.31801	19772.56066	23701.08362
5771	Gene5771	29905.41846	29403.38188	30113.92096	28062.67091	24857.4991	28770.32181	37868.63499	34210.42735
6593	Gene6593	24397.28349	26022.35256	32747.11907	34198.22454	35844.94394	37059.95185	25505.87544	27385.4619
3819	Gene3819	33156.86366	28990.63694	28729.66483	31287.28743	31513.25013	31409.70001	30253.26348	27784.20906
12742	Gene12742	34639.60629	34736.178	24669.86816	36944.56138	34409.45937	32627.38684	23765.32283	21322.19144
914	Gene914	26717.90029	26134.20427	25587.46098	22325.70943	33673.53697	32483.44335	38353.22923	37825.53216
9114	Gene9114	27030.48634	27421.75599	28156.8108	31396.35328	33597.63812	29968.72402	32897.0794	32543.73895
9581	Gene9581	27914.70831	24235.24261	44116.20814	26538.35688	36170.95702	35291.48885	23107.39407	25462.20906
554	Gene554	22925.049	22394.49282	45391.66174	45565.26771	30544.87128	31623.02725	22750.53881	21460.20408
12250	Gene12250	32155.87147	32173.42781	27658.12126	30981.44803	29975.58088	30711.89936	28415.93987	30486.56175
12176	Gene12176	30797.99395	32293.44952	19211.88821	27292.51941	36196.41553	37570.15443	29503.65181	29689.14214
13296	Gene13296	24205.24979	22738.7521	19706.42847	59916.69946	28430.02221	26650.3803	30194.91767	30564.71856
4274	Gene4274	38158.54102	35684.64974	35772.25634	27592.87446	28371.29393	29047.41356	22898.94012	24851.06964
11616	Gene11616	29990.22884	30659.68087	26962.6805	28310.03936	31808.20313	31057.50032	32241.97957	31334.73839
13368	Gene13368	34755.8079	37164.92828	25664.97273	28543.44887	26951.53271	30387.43759	30137.03443	28698.57699
3941	Gene3941	33663.7866	32834.92182	34806.99423	29930.8248	26664.24496	29468.6378	27349.0614	27559.1353
8076	Gene8076	25940.63638	28151.66973	34152.63706	31827.6701	30626.99499	29268.94803	31269.4568	31015.74129
2599	Gene2599	45669.87312	44111.32548	17258.809	25499.79046	21312.8673	27744.86606	30645.73897	30000.8291
8957	Gene8957	31762.11064	21626.03285	49368.58218	34722.2013	31290.84104	33989.1473	18835.14542	20521.58503
5153	Gene5153	23190.3296	26419.43271	56396.41422	35152.79875	25008.10056	26445.06362	26204.00639	23087.76054
1807	Gene1807	28539.25154	26553.71826	21869.05148	23092.39448	31069.12037	32763.64561	40460.08894	37535.64748
3504	Gene3504	30541.86457	32305.05667	29436.93601	33147.66391	31793.69143	29652.97873	27207.37734	27620.42308
6965	Gene6965	27833.53211	30234.35444	28593.57551	32767.87739	29685.22545	29593.18306	31234.11081	31736.55748
1446	Gene1446	21473.35367	19268.41552	16569.00049	26752.47862	36511.64321	35425.84408	42952.35237	42665.10862
8691	Gene8691	36319.38731	22718.60055	51158.95419	41290.26353	28428.91336	31159.72512	14490.30881	15834.93226
12481	Gene12481	26721.48717	26332.51111	35656.95164	45151.42551	30555.54246	29606.71463	22485.26714	24869.5936
8005	Gene8005	32111.69891	30638.73007	23066.3087	28533.5754	30556.44794	32445.45975	31468.75619	32535.86512
8051	Gene8051	33215.55202	33426.53353	29650.29581	30087.32096	28647.94701	30789.10653	27889.51526	27607.09364
10068	Gene10068	26413.4227	27733.8153	29922.15008	30530.04416	29810.07415	28356.31565	35935.86183	32527.56331
885	Gene885	27297.05905	27295.54132	22381.86176	28630.37525	28752.21517	27373.19013	39071.02437	40198.33445
2799	Gene2799	37186.5818	38654.71769	31323.98063	33150.50712	24332.0025	27056.52167	24531.04899	24750.08907
1013	Gene1013	23908.1443	26291.59391	20763.16208	21620.14877	29462.52856	25686.28294	46326.03945	46837.14842
7553	Gene7553	31838.5685	30368.40138	31688.44503	31803.79611	30244.76499	28793.78573	28508.05379	27578.75473
1996	Gene1996	21526.50222	20911.96103	31417.91642	30198.32182	40648.74235	36266.96012	28270.35123	31564.91648
11327	Gene11327	45795.46854	33137.21187	25157.83256	24514.33291	32936.27301	39465.63645	21849.73411	17929.29467
4868	Gene4868	35221.98098	35068.48597	28544.96042	29743.19375	28117.20958	28058.55894	27181.38366	28845.2694
12405	Gene12405	34087.09141	18689.14899	42770.06692	43595.61919	31718.90691	31360.84778	19632.39223	18777.43256
13554	Gene13554	29175.45237	31581.79229	17831.34514	28540.34962	39426.24253	38339.83974	26822.78471	28652.93023
4639	Gene4639	32545.90078	35418.91163	34277.05311	23422.56849	27207.15628	31665.13417	27553.31604	28219.49812
1642	Gene1642	22436.81214	24064.99911	24176.29872	25864.00606	36143.00045	31773.25228	39168.36219	36664.44996
10741	Gene10741	24727.49204	23945.71607	36126.81396	30962.43999	31251.98199	29547.03154	33919.72379	29668.16658
5882	Gene5882	26945.15735	28705.13911	34726.98969	32000.18421	31103.45992	31730.50908	28320.01104	26602.40477
10302	Gene10302	34520.17106	30970.15622	30837.63955	33848.09868	28093.11587	31442.57152	23493.81785	26723.44676
1308	Gene1308	8311.913559	8892.090216	10388.10542	20634.6751	16487.30675	21733.74066	75942.18209	77507.34642
3351	Gene3351	32726.89809	30570.7287	27709.32798	34159.88097	31285.49136	32214.50663	23530.38277	27689.70915
13117	Gene13117	31416.30422	29943.65601	30574.25452	29830.84861	29408.43245	29058.70851	30315.15923	29321.97253
12165	Gene12165	28629.94869	28607.68471	30883.49795	29402.3013	26206.41948	26344.07408	35383.61925	34395.45679
10421	Gene10421	31044.35036	31125.55259	24209.4869	31947.38148	28691.33228	27701.05774	32062.82171	32948.56904
1880	Gene1880	22669.30474	22124.28979	23220.83229	24778.22287	34684.9355	35297.00445	38746.50808	38111.83605
8925	Gene8925	39671.62664	20121.98834	26243.40655	40625.58242	27835.17721	27131.00211	27846.94001	30078.35209
6296	Gene6296	30014.87494	30043.10878	32517.78039	29416.87703	28448.9577	28531.19966	30244.5795	30317.16543
226	Gene226	20681.85407	21804.87113	33247.28614	36206.64842	33497.84441	30240.82655	30884.18763	32717.4584
3776	Gene3776	34590.0573	35077.97433	28196.93431	31165.91429	28665.94641	30309.87006	25051.34385	25979.6578
10267	Gene10267	28124.81267	27454.15972	24094.71908	28820.36982	35139.36855	35299.33111	30924.90325	29084.65899
2406	Gene2406	17932.25358	16316.00638	22347.28678	21410.09814	41088.22271	39560.14441	38131.51426	42032.68162
13408	Gene13408	37697.03198	36983.2411	18004.50612	41597.99931	29002.11506	31163.25123	21440.92128	22873.38597
12731	Gene12731	31553.96456	35100.22424	26912.44503	32433.07378	28798.65531	29866.21997	25796.56693	28270.41103
8585	Gene8585	28268.65678	26571.05194	19198.57243	28443.29482	28192.11086	26250.84062	40206.9775	41522.60699
6230	Gene6230	36597.3432	33476.98221	22653.35574	19954.39035	28657.86653	37574.20334	32650.23986	26833.40634
1803	Gene1803	21385.5456	21875.9913	16595.62393	22120.46586	27556.89963	25581.75086	50468.24094	52767.03183
10048	Gene10048	31739.97004	30146.21349	22279.88899	27774.2379	28079.43219	27835.25089	34690.34214	35798.66532
7319	Gene7319	27526.18036	22230.29676	26184.90778	19333.9269	36689.84525	35378.05336	35785.41893	35195.99737
10927	Gene10927	31931.48534	30466.87654	20357.63471	27897.63135	26249.89605	30950.84724	34104.96455	36309.92069
13703	Gene13703	33182.82047	31446.36501	26502.81938	44928.64549	28333.28598	27353.21327	21912.308	24524.12494
11567	Gene11567	37571.44522	34069.73428	26365.61697	30973.56483	30970.73436	29039.52768	22872.6695	26217.20874
3512	Gene3512	40843.28094	37332.51114	15461.96259	38335.12367	32141.81505	30886.7023	22028.53075	20874.16239
4043	Gene4043	29179.40882	36474.70656	22816.47723	26838.70138	28605.16109	33372.59382	29455.82394	31157.56149
13706	Gene13706	35173.59818	30269.5408	27133.22533	33566.53793	27772.87179	29713.41581	30087.86738	24153.67472
1755	Gene1755	9023.724721	9807.294086	21523.93151	20417.0421	40105.77633	30242.04893	52439.25394	54134.21069
12256	Gene12256	28380.92699	28406.29845	24372.31249	28178.17978	31298.62358	27143.41972	35774.97347	34078.98989
11607	Gene11607	34562.76586	36853.06468	30586.52723	29788.39385	27318.73348	28971.01393	25268.30703	24114.84975
7255	Gene7255	34461.52	32093.41603	28166.98625	26412.54376	29529.34846	31728.83266	27388.58329	27621.6548
12211	Gene12211	35655.25356	33021.08123	33587.78663	28588.37095	29007.10192	26103.65687	27597.35083	23821.13993
5457	Gene5457	41333.81866	25910.33152	23237.83769	22817.21406	36630.68459	38258.30646	23027.45642	26137.61556
12635	Gene12635	30875.68961	26706.037	23048.98636	38238.20486	25899.8722	25604.22112	33691.32493	33279.11825
12932	Gene12932	31513.90919	32861.19921	30326.80856	28740.2361	27944.91963	27361.11892	27725.67188	30863.86668
1128	Gene1128	23112.56905	22307.23697	24341.95359	26397.1172	22347.463	23353.86894	48039.59219	47330.40625
9399	Gene9399	34555.49347	30573.88114	23700.20914	30937.52376	28485.92685	28482.5873	29551.11093	30871.9331
2375	Gene2375	22981.51316	22936.43909	25832.45514	26852.96644	36803.92459	33693.72098	34436.74968	33464.03333
13024	Gene13024	27407.77967	28950.79369	32120.82852	32247.77376	28523.5684	28401.47848	30436.94239	28829.47709
11067	Gene11067	30163.05489	29940.42856	30440.16109	28967.63708	29080.73785	30087.38013	29614.46764	28551.52469
2962	Gene2962	39597.04971	37161.74064	41356.75739	37231.08425	23748.7241	23376.55484	17418.71593	16863.39217
2483	Gene2483	39424.92537	43719.08579	26533.89883	27323.40578	23879.63124	25034.23376	24640.8413	26046.60074
2459	Gene2459	39219.12249	39877.67429	28616.92411	33079.59379	23942.3709	27944.13224	22683.71859	21212.17384
8511	Gene8511	26459.64926	28152.23524	26869.3913	31468.2972	33634.025	31244.3783	29381.61913	29312.86139
9052	Gene9052	30771.69628	32110.3185	34251.34925	29399.38006	27516.51974	28976.30049	25370.12291	28122.89097
8830	Gene8830	32444.09754	31827.05874	30801.14237	30281.87884	28514.58715	29992.45941	26169.66748	26486.15194
5508	Gene5508	34099.90444	29513.81846	32355.28682	19459.59024	36198.54336	32288.4732	25781.95733	26697.8619
314	Gene314	20136.0081	19598.51714	36551.26475	38122.38018	34030.85691	31673.60078	27668.86298	28485.19418
9336	Gene9336	29897.17034	30132.10368	30353.09244	28164.15788	27918.32383	28737.75383	32577.28821	28339.29565
7200	Gene7200	28902.5381	31556.91024	23964.93537	28931.91374	27194.27725	29958.19209	29651.47093	35844.72629
4567	Gene4567	34321.77504	34050.18751	13051.17118	34086.95151	25921.64016	25201.29162	33675.30764	35667.36194
1192	Gene1192	20651.16149	19522.6988	19347.65604	20686.17241	31468.52567	29786.76048	50330.6412	44154.55208
774	Gene774	26704.19353	21227.44718	36979.6954	35476.11065	32246.73129	33629.15684	22916.62546	26732.11397
4722	Gene4722	34018.39472	35270.61153	31003.80427	31600.05783	27437.29172	25702.2181	26308.74604	24478.02547
9844	Gene9844	28640.78408	28546.49589	27400.15587	29117.79147	31475.81965	31201.18286	29081.00324	30225.26522
462	Gene462	11767.42009	11790.80712	36995.1451	55211.16988	38759.98091	34502.76143	23274.0852	23320.23232
11582	Gene11582	30268.45121	34265.87337	30913.34793	31233.04173	28454.25776	28908.18344	24598.93534	26964.04498
12138	Gene12138	32988.96299	29115.34576	28273.25239	27867.65496	28630.6984	27236.83199	32929.67006	28463.75327
12920	Gene12920	31549.02929	33560.54668	23799.52242	34968.69696	27671.14214	29206.74887	26672.78747	28026.28577
9554	Gene9554	25697.05562	29289.43151	27537.87647	26464.13353	30444.56949	30035.85043	33851.52617	32066.74871
13583	Gene13583	28625.40122	29525.33516	28244.33288	29681.38532	28346.4359	28598.32975	31643.27372	30700.19208
2441	Gene2441	38730.74592	33421.67326	27571.07181	25591.54438	31264.82029	34225.82873	20610.7412	23901.17997
7136	Gene7136	29677.07074	31573.49414	33050.77942	31017.71331	30827.79377	30067.18769	24312.24571	24685.89499
2492	Gene2492	39877.77575	45459.27008	25445.82044	24150.94107	23208.78194	24853.35163	26974.31846	25210.50871
6182	Gene6182	32192.54779	33420.73298	27497.83296	30421.30142	28505.33597	29103.82449	27882.81894	26137.76271
5002	Gene5002	26562.81098	26991.89774	26415.49752	25437.30005	27375.50104	25249.05205	39020.32811	37953.93386
7408	Gene7408	25042.60141	19309.97596	23890.1862	21506.33598	30073.37513	31439.43744	46798.56992	36945.40211
10190	Gene10190	34082.77671	35453.04955	30549.51627	31816.04783	26773.22635	28465.0173	25714.58456	22127.49986
8276	Gene8276	29304.54906	31882.81581	31094.17732	31704.42227	29745.16637	29343.49183	27725.11934	24139.97991
4924	Gene4924	28763.99886	32570.47055	15702.02367	31187.46989	28527.38183	27913.96201	35353.48325	34886.06825
781	Gene781	17051.24919	17063.43562	41033.55501	49201.06182	31165.90086	31005.88641	22221.45564	26139.53155
7617	Gene7617	33573.29728	32256.50013	20233.37782	31140.69693	30337.75017	30457.92214	27680.7567	29137.79153
8655	Gene8655	26866.87003	30144.65668	29071.0848	27450.6353	30593.5698	30766.83702	30139.9344	29718.71809
9824	Gene9824	29824.9156	31165.41622	31148.25567	31061.84413	28119.83666	27981.78176	28101.80847	27343.66758
3936	Gene3936	30197.24072	29822.64288	27887.94209	34137.70423	30626.58494	29811.52481	25361.697	26867.14471
6596	Gene6596	29281.63353	29478.47477	28292.89478	29872.37359	28943.67067	28030.25089	31408.71129	29337.04954
6562	Gene6562	30581.47906	28994.81472	26594.21677	33015.52349	31891.09483	30040.46823	26064.30586	27379.60342
1725	Gene1725	20705.78151	19514.41422	21455.07921	19913.61232	31321.03698	29508.89053	44194.23416	47881.20806
306	Gene306	25899.18865	27725.63575	36723.56943	37871.40012	29879.96678	31669.45491	22373.27584	22282.29904
5118	Gene5118	27648.68748	28820.37011	27202.93523	29594.52959	27840.78692	27119.06676	33534.36731	32652.09309
583	Gene583	27181.40513	27380.51151	35331.86788	38073.49214	29415.05205	32687.65217	22133.64227	22172.39291
10037	Gene10037	28599.75451	23440.07969	28328.97474	31167.30913	30400.92135	30119.41412	31176.28915	31136.07762
13129	Gene13129	29488.2137	34825.02231	31180.42783	33534.67512	24776.05525	24334.50335	26306.57606	29865.72033
5958	Gene5958	31286.86532	31689.93733	28828.74425	28963.26252	27596.45206	28816.72192	29543.7681	27543.24648
9766	Gene9766	28822.17477	32313.6427	23330.11662	35577.41647	32475.54138	33335.79282	23131.63415	25209.88118
5528	Gene5528	27096.76277	26328.88543	27082.0466	24224.68966	40461.6146	33714.45629	29554.47625	25720.12003
10470	Gene10470	33788.80758	31785.86031	24418.38607	25654.76731	27673.24668	28491.97307	31349.65414	30882.66825
3124	Gene3124	33464.41886	37951.59423	34647.40702	30634.66208	20791.41627	25067.09847	25428.3887	25992.35972
3000	Gene3000	40797.87175	40328.0865	35930.27957	33881.80292	22044.6887	22903.92848	19486.9346	18601.76831
9183	Gene9183	31918.82997	32046.00488	29085.83817	30907.97527	28116.69702	28742.85636	26855.6193	26215.12382
1072	Gene1072	22702.88402	22814.78414	17759.58102	17702.19871	35428.59065	30449.92192	43020.12287	44001.10288
4765	Gene4765	32426.82431	32385.14441	22982.65931	31282.01075	28468.84859	26549.18674	28959.84444	30588.91923
10408	Gene10408	28884.49637	30904.1096	33061.2702	31702.09576	29288.58943	30072.58548	25098.29564	24562.29058
7817	Gene7817	28067.97364	20370.56225	23422.34384	38025.03676	30380.07394	25933.6524	34360.35511	32898.85039
13379	Gene13379	28433.10433	18407.6345	26913.89866	17407.22445	33674.72684	36241.02628	38814.04513	33514.56499
6986	Gene6986	17850.0474	17107.81639	27299.20258	40434.92175	37273.30521	32561.88898	30240.45869	30630.10954
3995	Gene3995	31002.137	34551.49599	28083.22455	27005.62828	26786.86277	28437.7963	30281.10753	27219.33214
9714	Gene9714	30760.80689	31622.41104	28455.39356	29793.24635	28185.50356	28902.72251	27495.19583	27999.64998
2502	Gene2502	42436.48284	42164.82151	23161.19341	27982.16922	23202.58044	25799.56758	22390.51501	25942.16572
4672	Gene4672	26323.03254	26642.316	28079.04669	30194.14461	28430.47178	28913.77887	31959.87311	32211.55087
7224	Gene7224	29245.05238	31210.96093	30009.52651	29156.69569	27180.64041	30042.97732	29108.09032	26789.0999
6202	Gene6202	30566.89777	32318.93197	33725.4124	28894.18087	27080.29472	27983.24173	24961.01314	27174.13221
8577	Gene8577	29539.89781	28169.70975	23988.94669	32206.32801	25109.47022	25499.22577	34644.45311	33520.34897
5245	Gene5245	31214.7326	28679.35716	27892.31376	26757.03072	26052.87018	29556.28749	32575.72424	29917.89385
9904	Gene9904	27720.31694	28622.83076	32111.71136	34666.00074	29779.3814	30672.83431	24715.21253	24161.04674
9836	Gene9836	24309.35107	25040.67314	37371.49103	32991.22165	32772.52701	32324.6217	23611.17796	23914.91625
12084	Gene12084	22982.76258	23435.34863	36235.97898	33182.7737	33433.29154	29920.19822	26942.6418	26114.70493
9611	Gene9611	24503.72408	27955.43344	25523.17872	26666.09821	29860.33219	29460.7102	35002.54852	33273.69692
12217	Gene12217	41193.58554	37706.00096	17644.35127	44945.11625	29033.83053	27201.64532	16513.73737	17843.90731
5369	Gene5369	27975.14006	27123.4651	21239.24733	26946.90798	28660.1837	28629.038	35718.1426	35751.27097
1811	Gene1811	22585.37985	22486.43407	21852.58772	23146.79663	36615.69405	29642.51768	38655.24994	36887.90398
5846	Gene5846	28917.46089	30346.94762	26499.66474	28822.18758	28736.92922	28571.44524	30956.12806	29015.53554
8227	Gene8227	31418.04056	32640.5988	27660.69041	28991.59873	29759.785	26807.7064	26532.98477	28002.99274
1332	Gene1332	23833.1391	25027.89955	20231.92418	24684.09552	30867.81619	32430.14794	37054.73004	37626.09161
7439	Gene7439	28498.17408	30707.85141	27084.96277	26830.16325	27517.12298	28891.32456	30247.07986	31911.46265
9653	Gene9653	27771.61612	25980.22327	27975.15514	29974.00962	36411.38432	32566.64679	25229.46405	25777.64623
3973	Gene3973	33012.05075	30193.92574	33576.58139	28002.88833	28963.72309	27696.61607	24846.40936	25316.32638
12091	Gene12091	27992.828	23612.21965	32169.05129	26028.1845	28503.19948	31472.09044	31417.0437	30405.05676
12015	Gene12015	28113.31941	27906.4575	23521.41676	29122.53823	28398.66684	25582.25794	34201.42369	34705.04779
9009	Gene9009	26539.5965	28251.01329	12829.10788	23138.0719	37084.81782	36692.42444	34374.24561	32606.68888
1548	Gene1548	21528.03177	21544.69282	5875.240194	16085.72559	35240.2039	36518.11229	45580.19801	49024.14908
5069	Gene5069	26403.0267	26094.07261	27040.03115	30697.79155	29137.56343	31016.54999	31481.52087	29518.32658
7468	Gene7468	26676.31255	24902.60409	34234.52519	30559.39205	32669.26446	30472.49469	27172.30492	24681.6046
7903	Gene7903	27096.05479	26635.75516	25917.37035	27621.03494	27276.0067	26743.04545	34581.75119	35469.90755
1302	Gene1302	20781.12404	22220.99825	21660.16923	18407.27235	32165.22579	24781.05546	48094.26702	43098.51878
8337	Gene8337	24843.69979	27083.66792	27525.65045	26728.41537	28570.77687	27930.58728	33316.50909	35191.19675
