	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
11912	Gene11912	649716.201	639423.875	674384.6084	613493.9611	562157.0086	583731.8799	535239.4063	519135.1803
1017	Gene1017	560625.0733	498186.428	540639.6463	435595.5962	612612.6592	542952.5913	760519.3843	760925.3906
791	Gene791	437086.3121	416346.9322	1203191.907	1120675.442	464003.5954	435174.6302	230129.218	258747.9224
3098	Gene3098	673362.9528	660260.1417	751721.3412	720175.1073	479619.3474	486001.8382	380274.2332	382999.9404
13496	Gene13496	605990.6143	560841.8821	693916.8775	533535.6062	532162.8633	558862.7015	437005.8653	466035.7413
7591	Gene7591	688347.6012	641133.6019	389580.4958	563367.6443	522965.0526	551391.6524	474205.5913	516048.058
1495	Gene1495	510749.775	505422.1297	417528.1383	488248.103	471266.6136	457286.8688	702858.1689	749272.4855
11508	Gene11508	620406.7007	513739.4294	460881.8064	484364.228	527671.3164	568407.1871	514620.7824	610307.6295
1651	Gene1651	42549.82887	35171.15575	174017.4558	177405.6475	322341.0674	284069.6117	1645314.74	1565449.416
6023	Gene6023	177777.4458	117821.2691	386185.0662	910454.028	777975.2178	669711.9886	496959.453	559298.4744
11533	Gene11533	461003.5098	453006.223	520122.2795	468852.2404	517299.9957	503577.2599	584910.2893	568765.9079
6839	Gene6839	450974.2849	472439.424	498643.5828	453361.3018	495352.0325	485856.4917	591306.3612	591042.5335
12958	Gene12958	489576.5714	484769.2212	569283.6464	483331.9094	520776.8244	529786.0471	451190.6722	446103.5584
4887	Gene4887	606385.9284	548565.5265	300889.938	531713.3918	565941.1779	561902.4739	395275.5585	396518.8327
2956	Gene2956	555025.2527	563707.6462	598291.4347	589562.5209	398287.329	406740.8426	406494.2849	376862.8695
4472	Gene4472	435674.3351	428956.8441	474852.7575	462234.1002	491468.0794	472822.3627	556129.1591	550112.1626
12501	Gene12501	501099.2047	540882.5036	553178.9999	483071.2602	485560.2465	467764.5776	408788.9852	416057.9755
2463	Gene2463	599453.288	596340.128	392709.9698	401037.4556	476920.7516	511008.9844	438670.0547	434678.926
2824	Gene2824	566022.2648	589898.2367	564001.9833	564613.2483	456068.0288	472798.043	316174.9723	307569.7073
4471	Gene4471	505860.1359	488551.0945	493085.7851	501172.1343	417420.9742	444527.1603	480903.8155	489469.4463
11652	Gene11652	539902.5644	544375.7449	518716.9934	490859.7431	404869.3258	450871.5044	392138.4264	394193.1786
3374	Gene3374	552569.2843	508248.4121	558495.8988	500147.9494	427951.421	462188.5506	346114.0047	367852.6968
10845	Gene10845	527396.6039	550857.7951	372515.4016	496089.9921	436067.1817	471869.1388	423975.6631	427470.2878
4747	Gene4747	429248.2178	411171.0943	483203.3448	397182.3611	480455.2908	478882.7859	495145.5746	495241.6148
