	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gene4047	-0.203427457157603	6.37220990334298	-1.97438014036679	0.0814657534672188	0.999988671207323	-4.26665134142045
Gene7921	0.303777622189341	4.17231348809863	2.16366500900369	0.0602827966891747	0.999988671207323	-4.26751014516715
Gene10528	0.31185748511763	4.97514567154786	2.03879234923916	0.0735561042020234	0.999988671207323	-4.26796497747828
Gene13363	-0.306854649891461	4.63887479666821	-2.07525377651919	0.0694123147797822	0.999988671207323	-4.26847654654999
Gene6364	-0.367521507048583	3.90446235415561	-2.2402552600635	0.0533306164988978	0.999988671207323	-4.27126686869792
Gene10023	-0.24363865683414	4.63648565977223	-2.06441291574838	0.0706201900763206	0.999988671207323	-4.27207106676444
Gene5827	-0.199093745308783	5.02730210781918	-2.01824005310461	0.0759960029995843	0.999988671207323	-4.2733874621712
Gene7538	-0.302443558124881	4.20659749242529	-2.12568419082415	0.0640518169142359	0.999988671207323	-4.27680595258576
Gene5699	-0.278988415548906	4.99497952465491	-2.01149206040414	0.076813956495626	0.999988671207323	-4.27701606744418
Gene12108	0.466994408867383	3.24084373114573	2.78081197329164	0.0224267038345179	0.999988671207323	-4.27985524579816
Gene11737	-0.244812281260402	4.05165398198489	-2.14495844048986	0.0621112823746511	0.999988671207323	-4.28206151810279
Gene7384	-0.298580323827652	5.79755844920311	-1.94007947009239	0.0860040422869768	0.999988671207323	-4.28543514205153
Gene8367	-0.210603157194019	4.50472985345152	-2.04077202285799	0.0733251114347792	0.999988671207323	-4.28633242717218
Gene9953	-0.349612608946662	4.59101857623631	-2.02679199193582	0.0749714212161298	0.999988671207323	-4.28739122870328
Gene7172	0.307529897186367	6.14833715885291	1.92193026335767	0.0885018917936361	0.999988671207323	-4.28801848019077
Gene7338	0.300768037462268	4.395852335446	2.05157940621138	0.0720763712863956	0.999988671207323	-4.28887144190678
Gene13309	-0.246098684772693	4.06049679931536	-2.11437445280248	0.0652178356710741	0.999988671207323	-4.29053830207455
Gene7930	0.545658874296349	5.7412628687806	1.91221142930515	0.0898676999448757	0.999988671207323	-4.29775078160516
Gene8088	0.364973643164773	3.65101374510985	2.27358367424528	0.0505573970673242	0.999988671207323	-4.29843103275645
Gene12750	-0.225665007674023	5.39357959890726	-1.92510331210606	0.0880602661145184	0.999988671207323	-4.2994845315997
Gene4141	0.451900665409118	5.16161341011876	1.93802894911351	0.0862828514594067	0.999988671207323	-4.2999026065409
Gene6343	0.285681797565448	4.17201330158315	2.05643519093817	0.0715220187647946	0.999988671207323	-4.30057594226358
Gene11961	-0.302999381097668	6.20591921926691	-1.88657316159105	0.0935673425970913	0.999988671207323	-4.30160134171823
Gene5499	0.282100736022463	4.05613678700057	2.07232144736687	0.0697370438466625	0.999988671207323	-4.3038315616773
Gene3552	0.383674822199294	7.28112086036806	1.90062708867699	0.0915218233548638	0.999988671207323	-4.30483710511855
Gene8251	-0.483254918132332	5.52074032355113	-1.90313130790031	0.0911618178157986	0.999988671207323	-4.30508980837128
Gene10203	0.569039944582609	5.38769748377077	1.90336820098084	0.0911278317922232	0.999988671207323	-4.30761303559808
Gene11332	0.434990020736547	5.79030831610305	1.88122931774309	0.0943564274832867	0.999988671207323	-4.30863041422617
Gene11226	0.316880922979037	4.16767674540072	2.0291337918013	0.0746931853479996	0.999988671207323	-4.30948136547415
Gene13696	0.255232218369608	4.80477318914492	1.93743068689794	0.0863643592982199	0.999988671207323	-4.30948684551769
Gene13611	0.276464927994035	4.64043322392683	1.95303733535995	0.0842619304358063	0.999988671207323	-4.31022653484743
Gene6088	-0.241660852963701	4.14186857810021	-2.02405010505089	0.0752984612378896	0.999988671207323	-4.31232144031488
Gene4132	0.381842098388435	4.64606003961433	1.94456445102373	0.0853972102313719	0.999988671207323	-4.3133036447567
Gene11917	-0.176043616119597	6.20523588049296	-1.85332613989552	0.098579846368233	0.999988671207323	-4.31451488284275
Gene7536	-0.23757476801027	7.44574030570718	-1.88002860146852	0.094534592251122	0.999988671207323	-4.3145860750877
Gene7725	-0.221632985649952	4.1100943105773	-2.00749517791043	0.0773024208513896	0.999988671207323	-4.31940329538604
Gene7491	0.249066756741389	4.72519490354697	1.91666371599058	0.089239543003372	0.999988671207323	-4.31954447166761
Gene11585	0.583112519595712	4.21028432287849	1.99420216672436	0.0789485347065403	0.999988671207323	-4.31991878327303
Gene3560	-0.30726327547495	3.71024109801507	-2.14167378860312	0.0624378815820032	0.999988671207323	-4.32099075209438
Gene6079	-0.353317600088794	3.43335244451678	-2.33544658513407	0.0457823295478367	0.999988671207323	-4.32105022720292
Gene13443	0.177898933868785	5.01768034573107	1.88535149135125	0.0937471848540718	0.999988671207323	-4.32177025468289
Gene6864	0.415337327104587	5.21449998731519	1.87420533191078	0.0954031823242631	0.999988671207323	-4.32208177538039
Gene13238	0.413911469435108	3.73816775878098	2.1334012237158	0.0632678750870242	0.999988671207323	-4.32251871636349
Gene6188	-0.241590174179135	4.12096261803392	-1.9934048386879	0.0790483325508761	0.999988671207323	-4.32313570765389
Gene11560	0.511436000192681	4.24293035048933	1.9686244448713	0.082210958370535	0.999988671207323	-4.32524800057114
Gene13178	-0.199160239056512	6.66813758920044	-1.82560216257783	0.102952079891386	0.999988671207323	-4.32656844881172
Gene3230	-0.188146455775312	5.19229771848045	-1.86014018154957	0.0975323156087397	0.999988671207323	-4.32733591422813
Gene8125	-0.230719711739904	4.71833063230194	-1.8923054172106	0.0927278494012547	0.999988671207323	-4.32823607799125
Gene4772	0.401067527172499	3.64879902225802	2.15538608206686	0.0610854490293664	0.999988671207323	-4.32853347743368
Gene12507	0.165118462551773	9.41297748760022	1.85029720514241	0.0990488840691435	0.999988671207323	-4.33047748410227
Gene4135	0.83410252502334	5.02670931485393	1.86772534870054	0.0963785896490474	0.999988671207323	-4.33062144079849
Gene4466	-0.47071819657946	3.64400349518562	-2.15431766475158	0.061189790867836	0.999988671207323	-4.331351546136
Gene11667	-0.278032682415235	3.653716878747	-2.12133326753532	0.0644979703813861	0.999988671207323	-4.3335249237427
Gene5688	0.995892749440822	4.82940589685789	1.87919738063083	0.0946581168249762	0.999988671207323	-4.33371397020743
Gene4709	-0.171518535979285	5.03658196883237	-1.84996793932698	0.0990999981413427	0.999988671207323	-4.33417846329874
Gene13562	0.328985789929916	3.56956755728807	2.1738431000577	0.0593101343525856	0.999988671207323	-4.33421822711383
Gene7988	-0.160401687795607	5.08711623692558	-1.84650668288056	0.099638816483505	0.999988671207323	-4.33434471113468
Gene11215	-0.361104260757907	4.35420855778243	-1.90607847775987	0.0907398546495496	0.999988671207323	-4.33879526968776
Gene4156	0.398093217934401	5.95080074116957	1.79411788429129	0.108137771984933	0.999988671207323	-4.34024911419108
