GENE	ANOVA P
Gene290	1.944255182
Gene291	0.001481774
Gene292	0.002489446
Gene293	0.00129367
Gene294	0.00845677
Gene295	4.690078206
Gene296	0.000858363
Gene297	0.006063363
Gene298	0.005134024
Gene299	0.019202059
Gene300	0.011760759
Gene301	0.018471815
Gene302	0.010642537
Gene303	0.003700795
Gene304	0.00101866
Gene305	1.597333695
Gene306	0.000492485
Gene307	0.004475796
Gene308	0.00501342
Gene309	0.001317392
Gene310	0.000239793
Gene311	0.000155402
Gene312	2.953141368
Gene313	0.001551963
Gene314	0.000297744
Gene315	0.002867537
Gene316	0.014430979
Gene317	0.009193422
Gene318	0.009780441
Gene319	3.481150711
Gene320	0.005815976
Gene321	0.016443273
Gene322	0.000204497
Gene323	0.006089406
Gene324	0.018777801
Gene325	0.00038775
Gene326	0.013859722
Gene327	0.000804629
Gene328	0.000823944
Gene329	0.000837138
Gene330	0.014893724
Gene331	0.001330946
Gene332	0.000715927
Gene333	0.001336149
Gene334	0.004374542
Gene335	0.010978247
Gene336	0.003454765
Gene337	0.003331198
Gene338	0.000530428
Gene339	0.018015829
Gene340	0.02294896
Gene341	0.008645836
Gene342	0.00267197
Gene343	0.018341371
Gene344	0.008201214
Gene345	0.023046795
Gene346	0.017532683
Gene347	0.024175749
Gene348	0.01873957
Gene349	0.002369832
Gene350	0.021372608
Gene351	1.231076215
Gene352	0.010739582
Gene353	0.01602197
Gene354	0.01304036
Gene355	0.009874845
Gene356	0.02026627
Gene357	0.012197234
Gene358	0.002514599
Gene359	0.003079546
Gene360	0.002752035
Gene361	0.020543331
Gene362	0.003061213
Gene363	0.007000535
Gene364	0.000664574
Gene365	0.023117802
Gene366	0.011135288
Gene367	0.00102334
Gene368	0.001458731
Gene369	0.005263934
Gene370	0.000415886
Gene371	0.000629154
Gene372	0.014138584
Gene373	0.004546962
Gene374	0.021340519
Gene375	0.000137011
Gene376	0.021232558
Gene377	8.632871444
Gene378	0.011093442
Gene379	0.001657904
Gene380	0.0001475
Gene381	0.000200825
Gene382	6.760758496
Gene383	0.006068605
Gene384	0.001755021
Gene385	0.003035777
Gene386	0.004644666
Gene387	0.000425165
Gene388	0.001946244
Gene389	0.008874643
Gene390	4.945979923
Gene391	0.000163839
Gene392	0.004799547
Gene393	0.020781566
Gene394	0.021881055
Gene395	0.002215711
Gene396	0.00233791
Gene397	0.000515588
Gene398	0.020151309
Gene399	7.429362488
Gene400	0.012706448
Gene401	0.006012515
Gene402	0.004883634
Gene403	3.077189884
Gene404	0.001031056
Gene405	6.281167908
Gene406	0.005165511
Gene407	0.001687229
Gene408	1.319301045
Gene409	0.001281059
Gene410	0.000411318
Gene411	1.479272824
Gene412	0.000555312
Gene413	0.002144246
Gene414	0.016520906
Gene415	0.001512202
Gene416	0.000726438
Gene417	0.001483748
Gene418	0.000811528
Gene419	0.008215514
Gene420	0.018150861
Gene421	0.003663935
Gene422	0.002935885
Gene423	0.003830512
Gene424	0.007763697
Gene425	0.018478915
Gene426	0.003394565
Gene427	0.000769099
Gene428	0.023561847
Gene429	0.021922566
Gene430	0.001419129
Gene431	0.016660071
Gene432	0.001887022
Gene433	0.000621428
Gene434	0.013315802
Gene435	0.001920823
Gene436	0.001347894
Gene437	0.000828464
Gene438	0.01313095
Gene439	0.01060979
